course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,F,Summer2021
ECO101,Intro to Microeconomics,3,B+,Summer2021
MKT202,Introduction to Marketing,3,A-,Summer2021
ECO104,Intro to Macroeconomics,3,A-,Fall2021
BUS251,Business Communication,3,B-,Fall2021
ACT201,Intro to Financial Accounting,3,B,Fall2021
ENG103,Intermediate Composition,3,B+,Fall2021
LAW200,Legal Environment of Business,3,B+,Spring2022
MGT212,Principles of Management,3,C+,Spring2022
ACT202,Intro to Managerial Accounting,3,D+,Spring2022
MIS107,Introduction to Computers,3,B+,Summer2022
MIS207,Management Information Systems,3,C+,Summer2022
MGT314,Production Management,3,C-,Summer2022
MGT368,Entrepreneurship,3,C-,Summer2022
INB372,International Business,3,B+,Summer2022
MGT351,Human Resource Management,3,C-,Fall2022
POL101,Intro to Political Science,3,C,Fall2022
ENG105,Advanced Composition,3,A-,Fall2022
BEN205,Bengali Literature,3,B-,Fall2022
CHN101,Chinese Language,3,B-,Fall2022
ANT101,Anthropology,3,D+,Spring2023
GEO205,Geography,3,F,Spring2023
PHI401,Ethics / Philosophy,3,A-,Spring2023
BIO103L,Biology I Lab,1,C+,Summer2023
BIO103,Biology I,3,A,Summer2023
PBH101,Public Health,3,C,Summer2023
PBH101L,Public Health Lab,1,W,Summer2023
ENV107,Environmental Science,3,D,Summer2023
HIS205,Modern History,3,B-,Fall2023
MKT460,Strategic Marketing,3,C,Fall2023
MKT337,Promotional Management,3,D+,Fall2023
MKT344,Consumer Behaviour,3,C-,Fall2023
HIS103,History of South Asia,3,D,Fall2023
MKT412,Services Marketing,3,D+,Spring2024
MKT465,Brand Management,3,B-,Spring2024
MKT417,Export-Import Management,3,F,Spring2024
