course_code,course_name,credits,grade,semester
CSE226,Fundamentals of Vibe Coding,3,C+,Summer2021
CSE231L,Digital Logic Design Lab,1,C,Summer2021
CSE311L,Database Management Systems Lab,1,B,Summer2021
CSE215L,Programming Language II Lab,1,A-,Summer2021
BIO103L,Biology I Lab,1,B-,Summer2021
ENG103,Intermediate Composition,3,A-,Fall2021
CHE101L,Chemistry I Lab,1,A-,Fall2021
CHE101,Chemistry I,3,B+,Fall2021
CSE115L,Programming Language I Lab,1,B,Spring2022
HIS101,Bangladesh History,3,A-,Spring2022
PHY107L,Physics I Lab,1,C-,Spring2022
CSE115,Programming Language I,3,B+,Spring2022
EEE141,Electrical Circuits I,3,B+,Summer2022
EEE141L,Electrical Circuits I Lab,1,B+,Summer2022
CEE110,Engineering Drawing,1,C+,Summer2022
PHY108L,Physics II Lab,1,B-,Summer2022
CSE225L,Data Structures & Algorithms Lab,1,B-,Summer2022
BUS251,Business Communication,3,C+,Fall2022
ACT201,Intro to Financial Accounting,3,B+,Fall2022
SCM310,Supply Chain Management,3,A,Fall2022
MIS207,Management Information Systems,3,C+,Fall2022
MGT460,Logistics Management,3,C+,Spring2023
MGT490,Project Management,3,C,Spring2023
MGT470,Quality Management,3,C,Spring2023
SCM320,Procurement and Inventory,3,D+,Summer2023
LAW200,Legal Environment of Business,3,F,Summer2023
ECO101,Intro to Microeconomics,3,C-,Summer2023
MKT202,Introduction to Marketing,3,A-,Summer2023
MIS107,Introduction to Computers,3,B,Summer2023
SCM450,Supply Chain Analytics,3,B-,Fall2023
INB372,International Business,3,B,Fall2023
MGT360,Global Supply Chain,3,C,Fall2023
ENG105,Advanced Composition,3,A,Fall2023
MGT390,Warehouse Management,3,A,Spring2024
ECO104,Intro to Macroeconomics,3,C-,Spring2024
PHI401,Ethics / Philosophy,3,C,Spring2024
ACT202,Intro to Managerial Accounting,3,B,Spring2024
MGT212,Principles of Management,3,D,Spring2024
MGT351,Human Resource Management,3,D+,Summer2024
LAW200,Legal Environment of Business,3,D+,Summer2024
MGT314,Production Management,3,D+,Summer2024
MGT368,Entrepreneurship,3,C-,Summer2024
