course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,B,Summer2020
CHE101L,Chemistry I Lab,1,B+,Summer2020
CSE311L,Database Management Systems Lab,1,B-,Summer2020
HIS101,Bangladesh History,3,B+,Fall2020
HIS102,World Civilization,3,B,Fall2020
ENG105,Advanced Composition,3,B-,Fall2020
CSE226,Fundamentals of Vibe Coding,3,B,Fall2020
CSE327,Software Engineering,3,C-,Spring2021
EEE111L,Analog Electronics I Lab,1,A-,Spring2021
CEE110,Engineering Drawing,1,B-,Spring2021
MKT344,Consumer Behaviour,3,B+,Summer2021
MKT445,Sales Management,3,B,Summer2021
MKT460,Strategic Marketing,3,C+,Summer2021
MKT465,Brand Management,3,B,Summer2021
MKT475,Marketing Analytics,3,F,Summer2021
ECO101,Intro to Microeconomics,3,B-,Fall2021
INB372,International Business,3,C-,Fall2021
MKT330,Retail Management,3,D+,Fall2021
PHI401,Ethics / Philosophy,3,C-,Fall2021
ECO104,Intro to Macroeconomics,3,B+,Spring2022
MIS207,Management Information Systems,3,B-,Spring2022
MKT382,International Marketing,3,C,Spring2022
MKT337,Promotional Management,3,B+,Spring2022
MKT475,Marketing Analytics,3,F,Summer2022
ACT201,Intro to Financial Accounting,3,C-,Summer2022
BUS251,Business Communication,3,A,Summer2022
LAW200,Legal Environment of Business,3,D+,Summer2022
MKT470,Marketing Research,3,F,Summer2022
MKT450,Marketing Channels,3,C,Fall2022
MKT475,Marketing Analytics,3,F,Fall2022
MIS107,Introduction to Computers,3,C+,Fall2022
MKT470,Marketing Research,3,C+,Fall2022
MGT212,Principles of Management,3,A-,Fall2022
MKT475,Marketing Analytics,3,D,Spring2023
MKT417,Export-Import Management,3,C,Spring2023
MKT412,Services Marketing,3,A,Spring2023
MKT355,Agricultural Marketing,3,D,Spring2023
MGT351,Human Resource Management,3,A-,Summer2023
ACT202,Intro to Managerial Accounting,3,D+,Summer2023
MKT202,Introduction to Marketing,3,C,Summer2023
MGT314,Production Management,3,W,Fall2023
MGT368,Entrepreneurship,3,C+,Fall2023
MGT314,Production Management,3,A-,Spring2024
