course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MIS107,Introduction to Computers,3,A-,Spring2020
BUS251,Business Communication,3,A,Spring2020
ECO101,Intro to Microeconomics,3,A-,Spring2020
ACT201,Intro to Financial Accounting,3,B,Spring2020
MKT202,Introduction to Marketing,3,A,Spring2020
MGT212,Principles of Management,3,A,Summer2020
ACT202,Intro to Managerial Accounting,3,A,Summer2020
MIS207,Management Information Systems,3,A-,Summer2020
ENG103,Intermediate Composition,3,A,Summer2020
INB372,International Business,3,A-,Summer2020
MGT351,Human Resource Management,3,B,Fall2020
MGT368,Entrepreneurship,3,B,Fall2020
LAW200,Legal Environment of Business,3,B+,Fall2020
ECO104,Intro to Macroeconomics,3,A-,Fall2020
ENG105,Advanced Composition,3,B-,Spring2021
ENG115,English Literature,3,B,Spring2021
CHN101,Chinese Language,3,B,Spring2021
BEN205,Bengali Literature,3,B-,Spring2021
POL104,Political Science,3,B+,Summer2021
SOC101,Intro to Sociology,3,B-,Summer2021
PAD201,Public Administration,3,B-,Summer2021
GEO205,Geography,3,B+,Summer2021
MGT314,Production Management,3,C+,Summer2021
PSY101L,Psychology Lab,1,B-,Fall2021
PHY107,Physics I,3,C-,Fall2021
PSY101,Intro to Psychology,3,B+,Fall2021
BIO103L,Biology I Lab,1,C-,Fall2021
BIO103,Biology I,3,B+,Fall2021
PHY107L,Physics I Lab,1,C-,Fall2021
PHI401,Ethics / Philosophy,3,C+,Fall2021
HIS103,History of South Asia,3,D+,Spring2022
ACT320,Intermediate Accounting II,3,C-,Spring2022
ACT360,Advanced Managerial Accounting,3,D+,Spring2022
HIS101,Bangladesh History,3,D+,Spring2022
HIS205,Modern History,3,C-,Spring2022
ACT380,Audit and Assurance,3,C+,Summer2022
ACT460,Advanced Financial Accounting,3,D+,Summer2022
ACT430,Accounting Information Systems,3,D+,Summer2022
ACT370,Taxation,3,D,Summer2022
ACT410,Financial Statement Analysis,3,D,Fall2022
ACT310,Intermediate Accounting I,3,D,Fall2022
BUS498,Internship,4,D,Fall2024
