course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,D+,Spring2019
ACT201,Intro to Financial Accounting,3,D+,Spring2019
MGT212,Principles of Management,3,C+,Spring2019
ECO101,Intro to Microeconomics,3,D+,Summer2019
BUS251,Business Communication,3,F,Summer2019
MKT202,Introduction to Marketing,3,C-,Fall2019
ACT202,Intro to Managerial Accounting,3,C,Fall2019
INB372,International Business,3,C+,Spring2020
LAW200,Legal Environment of Business,3,C,Spring2020
MGT351,Human Resource Management,3,C-,Summer2020
MGT314,Production Management,3,D,Summer2020
MIS207,Management Information Systems,3,F,Summer2020
MIS207,Management Information Systems,3,C,Fall2020
BUS251,Business Communication,3,C-,Fall2020
ECO104,Intro to Macroeconomics,3,C-,Fall2020
BEN205,Bengali Literature,3,D+,Spring2021
PHI401,Ethics / Philosophy,3,C-,Spring2021
MGT368,Entrepreneurship,3,B,Spring2021
PAD201,Public Administration,3,B,Summer2021
ENV107,Environmental Science,3,C+,Fall2021
ENV107L,Environmental Science Lab,1,C+,Fall2021
SOC101,Intro to Sociology,3,B-,Fall2021
GEO205,Geography,3,C+,Fall2021
HIS103,History of South Asia,3,D+,Spring2022
