course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,F,Summer2020
MGT212,Principles of Management,3,W,Summer2020
BUS251,Business Communication,3,B-,Summer2020
MIS107,Introduction to Computers,3,C+,Summer2020
LAW200,Legal Environment of Business,3,C,Summer2020
ACT201,Intro to Financial Accounting,3,C+,Fall2020
INB372,International Business,3,C-,Fall2020
MGT212,Principles of Management,3,D+,Fall2020
MIS207,Management Information Systems,3,B-,Fall2020
ECO101,Intro to Microeconomics,3,F,Fall2020
MGT368,Entrepreneurship,3,C+,Spring2021
ECO101,Intro to Microeconomics,3,C,Spring2021
ACT202,Intro to Managerial Accounting,3,C,Spring2021
MGT351,Human Resource Management,3,F,Spring2021
MIS207,Management Information Systems,3,B,Spring2021
PHI401,Ethics / Philosophy,3,D+,Spring2021
BEN205,Bengali Literature,3,W,Summer2021
MKT202,Introduction to Marketing,3,B-,Summer2021
ECO104,Intro to Macroeconomics,3,C+,Summer2021
MGT314,Production Management,3,F,Fall2021
MGT351,Human Resource Management,3,D,Fall2021
BEN205,Bengali Literature,3,C,Fall2021
PAD201,Public Administration,3,W,Spring2022
POL104,Political Science,3,F,Spring2022
MGT314,Production Management,3,B-,Spring2022
ANT101,Anthropology,3,D,Summer2022
POL104,Political Science,3,W,Summer2022
POL101,Intro to Political Science,3,W,Summer2022
PAD201,Public Administration,3,D,Summer2022
ENV107,Environmental Science,3,C+,Fall2022
BIO103,Biology I,3,W,Fall2022
PHY107,Physics I,3,B-,Fall2022
PHY107L,Physics I Lab,1,W,Fall2022
HIS102,World Civilization,3,C-,Spring2023
SCM450,Supply Chain Analytics,3,D,Spring2023
SCM310,Supply Chain Management,3,D,Spring2023
HIS101,Bangladesh History,3,C-,Spring2023
HIS205,Modern History,3,C,Spring2023
MGT490,Project Management,3,D+,Summer2023
MGT460,Logistics Management,3,F,Summer2023
SCM320,Procurement and Inventory,3,B,Summer2023
MGT360,Global Supply Chain,3,D+,Summer2023
