course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG103,Intermediate Composition,3,D,Fall2019
MGT212,Principles of Management,3,B-,Fall2019
ACT201,Intro to Financial Accounting,3,B,Fall2019
BUS135,Business Mathematics,3,C+,Fall2019
BUS251,Business Communication,3,A-,Spring2020
MIS107,Introduction to Computers,3,C,Spring2020
ECO101,Intro to Microeconomics,3,A-,Spring2020
MKT202,Introduction to Marketing,3,B-,Summer2020
BUS172,Introduction to Statistics,3,D,Summer2020
LAW200,Legal Environment of Business,3,B+,Summer2020
MGT351,Human Resource Management,3,A-,Fall2020
ECO104,Intro to Macroeconomics,3,D,Fall2020
MIS207,Management Information Systems,3,A,Fall2020
INB372,International Business,3,C-,Fall2020
ACT202,Intro to Managerial Accounting,3,D,Fall2020
MGT368,Entrepreneurship,3,D,Spring2021
MGT314,Production Management,3,D+,Spring2021
BUS173,Applied Statistics,3,F,Spring2021
ENG105,Advanced Composition,3,B-,Summer2021
FIN254,Intro to Financial Management,3,C+,Summer2021
BEN205,Bengali Literature,3,B+,Summer2021
SOC101,Intro to Sociology,3,W,Fall2021
PHI401,Ethics / Philosophy,3,C+,Fall2021
POL104,Political Science,3,C+,Fall2021
POL101,Intro to Political Science,3,C,Fall2021
BIO103L,Biology I Lab,1,A-,Spring2022
ENV107L,Environmental Science Lab,1,A-,Spring2022
ENV107,Environmental Science,3,B-,Spring2022
BIO103,Biology I,3,B,Spring2022
ANT101,Anthropology,3,B,Spring2022
GEO205,Geography,3,D+,Spring2022
HIS102,World Civilization,3,C-,Summer2022
HIS101,Bangladesh History,3,B,Summer2022
INB400,International Trade and Finance,3,C-,Summer2022
HIS103,History of South Asia,3,B-,Summer2022
INB410,International Competitiveness,3,C+,Fall2022
BUS173,Applied Statistics,3,A,Fall2022
MKT382,International Marketing,3,C,Fall2022
INB350,International Business Negotiation,3,W,Spring2023
INB480,Global Business Strategy,3,D+,Spring2023
MGT489,Strategic Management,3,B,Spring2023
INB450,Global Entrepreneurship,3,C,Summer2023
INB355,Country Risk Analysis,3,B+,Summer2023
INB415,Emerging Markets,3,A,Summer2023
INB490,Cross-Cultural Management,3,C,Summer2023
BUS498,Internship,4,D+,Fall2023
